================================================================================
PPO 训练 - 视觉版本 (相机 + 状态)
================================================================================
设备: cuda
总步数: 10000000
每次更新步数: 200
更新次数: 50000
图像尺寸: (64, 64)
使用相机: True (头部 + 腕部)
================================================================================

创建环境...
✓ state_dim=9, action_dim=8
✓ 相机已启用
创建智能体...
✓ 智能体已创建
✓ 参数量: 936,625 (可训练: 936,625)

开始训练...

Update 980/50000 | Step 196000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0074 | Value Loss: 0.0286 | SPS: 174 | ETA: 939.1min
Update 990/50000 | Step 198000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0031 | Value Loss: 0.0235 | SPS: 175 | ETA: 933.5min
Update 1000/50000 | Step 200000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0036 | Value Loss: 0.0551 | SPS: 175 | ETA: 933.3min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1000.pt
Update 1010/50000 | Step 202000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0106 | Value Loss: 0.0687 | SPS: 175 | ETA: 933.1min
Update 1020/50000 | Step 204000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0039 | Value Loss: 0.0839 | SPS: 175 | ETA: 933.0min
Update 1030/50000 | Step 206000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0041 | Value Loss: 0.0143 | SPS: 175 | ETA: 932.8min
Update 1040/50000 | Step 208000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0072 | Value Loss: 0.0300 | SPS: 175 | ETA: 932.6min
Update 1050/50000 | Step 210000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0049 | Value Loss: 0.1050 | SPS: 175 | ETA: 932.4min
Update 1060/50000 | Step 212000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0042 | Value Loss: 0.1025 | SPS: 175 | ETA: 932.2min
Update 1070/50000 | Step 214000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0060 | Value Loss: 0.0635 | SPS: 175 | ETA: 932.0min
Update 1080/50000 | Step 216000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0021 | Value Loss: 0.0554 | SPS: 175 | ETA: 931.8min
Update 1090/50000 | Step 218000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0011 | Value Loss: 0.0936 | SPS: 175 | ETA: 931.6min
Update 1100/50000 | Step 220000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0036 | Value Loss: 0.2269 | SPS: 175 | ETA: 931.4min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1100.pt
Update 1110/50000 | Step 222000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0002 | Value Loss: 0.1765 | SPS: 175 | ETA: 931.2min
Update 1120/50000 | Step 224000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0016 | Value Loss: 0.3438 | SPS: 175 | ETA: 931.0min
Update 1130/50000 | Step 226000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0064 | Value Loss: 0.0707 | SPS: 175 | ETA: 930.9min
Update 1140/50000 | Step 228000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0080 | Value Loss: 0.1629 | SPS: 175 | ETA: 930.7min
Update 1150/50000 | Step 230000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0070 | Value Loss: 0.1458 | SPS: 175 | ETA: 930.5min
Update 1160/50000 | Step 232000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0043 | Value Loss: 0.1646 | SPS: 175 | ETA: 930.3min
Update 1170/50000 | Step 234000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0019 | Value Loss: 0.0400 | SPS: 175 | ETA: 930.1min
Update 1180/50000 | Step 236000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0032 | Value Loss: 0.1169 | SPS: 175 | ETA: 929.9min
Update 1190/50000 | Step 238000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0008 | Value Loss: 0.0595 | SPS: 175 | ETA: 929.7min
Update 1200/50000 | Step 240000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0049 | Value Loss: 0.0430 | SPS: 175 | ETA: 929.5min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1200.pt
Update 1210/50000 | Step 242000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0111 | Value Loss: 0.0261 | SPS: 175 | ETA: 929.3min
Update 1220/50000 | Step 244000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0057 | Value Loss: 0.0811 | SPS: 175 | ETA: 929.1min
Update 1230/50000 | Step 246000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0052 | Value Loss: 0.0785 | SPS: 175 | ETA: 929.0min
Update 1240/50000 | Step 248000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0066 | Value Loss: 0.1758 | SPS: 175 | ETA: 928.8min
Update 1250/50000 | Step 250000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0060 | Value Loss: 0.2599 | SPS: 175 | ETA: 928.6min
Update 1260/50000 | Step 252000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0085 | Value Loss: 0.3675 | SPS: 175 | ETA: 928.4min
Update 1270/50000 | Step 254000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0016 | Value Loss: 0.0586 | SPS: 175 | ETA: 928.2min
Update 1280/50000 | Step 256000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0108 | Value Loss: 0.0701 | SPS: 175 | ETA: 928.0min
Update 1290/50000 | Step 258000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0026 | Value Loss: 0.0379 | SPS: 175 | ETA: 927.8min
Update 1300/50000 | Step 260000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0055 | Value Loss: 0.0281 | SPS: 175 | ETA: 927.6min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1300.pt
Update 1310/50000 | Step 262000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0115 | Value Loss: 0.0625 | SPS: 175 | ETA: 927.4min
Update 1320/50000 | Step 264000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0127 | Value Loss: 0.0493 | SPS: 175 | ETA: 927.2min
Update 1330/50000 | Step 266000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0046 | Value Loss: 0.0327 | SPS: 175 | ETA: 927.0min
Update 1340/50000 | Step 268000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0062 | Value Loss: 0.4364 | SPS: 174 | ETA: 932.2min
Update 1350/50000 | Step 270000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0040 | Value Loss: 0.0431 | SPS: 174 | ETA: 932.0min
Update 1360/50000 | Step 272000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0018 | Value Loss: 0.1261 | SPS: 174 | ETA: 931.8min
Update 1370/50000 | Step 274000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0018 | Value Loss: 0.1216 | SPS: 174 | ETA: 931.6min
Update 1380/50000 | Step 276000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0061 | Value Loss: 0.1181 | SPS: 174 | ETA: 931.4min
Update 1390/50000 | Step 278000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0060 | Value Loss: 0.1061 | SPS: 174 | ETA: 931.2min
Update 1400/50000 | Step 280000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0047 | Value Loss: 0.1155 | SPS: 174 | ETA: 931.0min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1400.pt
Update 1410/50000 | Step 282000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0110 | Value Loss: 0.1732 | SPS: 174 | ETA: 930.8min
Update 1420/50000 | Step 284000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0063 | Value Loss: 0.2574 | SPS: 174 | ETA: 930.7min
Update 1430/50000 | Step 286000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0041 | Value Loss: 0.1367 | SPS: 174 | ETA: 930.5min
Update 1440/50000 | Step 288000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0079 | Value Loss: 0.1757 | SPS: 174 | ETA: 930.3min
Update 1450/50000 | Step 290000/10000000 | Mean Reward: 3.49 | Policy Loss: 0.0005 | Value Loss: 0.2007 | SPS: 174 | ETA: 930.1min
Update 1460/50000 | Step 292000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0032 | Value Loss: 0.1835 | SPS: 175 | ETA: 924.6min
Update 1470/50000 | Step 294000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0072 | Value Loss: 0.1889 | SPS: 175 | ETA: 924.4min
Update 1480/50000 | Step 296000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0062 | Value Loss: 0.1695 | SPS: 175 | ETA: 924.2min
Update 1490/50000 | Step 298000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0059 | Value Loss: 0.0235 | SPS: 175 | ETA: 924.0min
Update 1500/50000 | Step 300000/10000000 | Mean Reward: 3.49 | Policy Loss: 0.0012 | Value Loss: 0.0815 | SPS: 175 | ETA: 923.8min
  ✓ 保存检查点: checkpoints/ppo_visual_update_1500.pt
Update 1510/50000 | Step 302000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0080 | Value Loss: 0.2264 | SPS: 175 | ETA: 923.6min
Update 1520/50000 | Step 304000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0058 | Value Loss: 0.2610 | SPS: 175 | ETA: 923.4min
Update 1530/50000 | Step 306000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0010 | Value Loss: 0.2391 | SPS: 175 | ETA: 923.2min
Update 1540/50000 | Step 308000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0045 | Value Loss: 0.1932 | SPS: 175 | ETA: 923.0min
Update 1550/50000 | Step 310000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0046 | Value Loss: 0.0946 | SPS: 175 | ETA: 922.9min
Update 1560/50000 | Step 312000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0071 | Value Loss: 0.0669 | SPS: 175 | ETA: 922.7min
Update 1570/50000 | Step 314000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0003 | Value Loss: 0.2338 | SPS: 175 | ETA: 922.5min
Update 1580/50000 | Step 316000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0017 | Value Loss: 0.2828 | SPS: 175 | ETA: 922.3min
Update 1590/50000 | Step 318000/10000000 | Mean Reward: 3.49 | Policy Loss: -0.0094 | Value Loss: 0.1141 | SPS: 175 | ETA: 922.1min
